Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2017","Tetanus, Cum 2017, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2017, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag",Location 1,Location 2
NEW YORK,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2017,4,,-,0,,0,,,-,,-,,-,4,,16,,10,,23,,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2017,4,,-,0,,0,,,-,,-,,-,1,,6,,,-,3,,"PUERTO RICO
(18.215692, -66.414655)",
MICHIGAN,2017,4,,-,0,,1,,,-,,-,1,,10,,19,,27,,86,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
HAWAII,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
OREGON,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
KANSAS,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2017,4,,-,0,,0,,,-,,-,2,,1,,6,,4,,7,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2017,4,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,6,,15,,13,,19,,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2017,4,,-,0,,0,,,-,,-,,-,1,,6,,1,,6,,"MONTANA
(47.062617, -109.430168)",
MAINE,2017,4,,-,0,,1,,,-,,-,3,,4,,8,,14,,10,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,4,,-,0,,0,,,-,,-,,-,2,,12,,3,,10,,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2017,4,,-,0,,0,,,-,,-,,-,5,,15,,,-,32,,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,4,,-,0,,0,,,-,1,,,-,7,,20,,9,,48,,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2017,4,,-,0,,1,,,-,,-,,-,4,,12,,1,,14,,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2017,4,,-,0,,0,,,-,,-,,-,0,,5,,2,,3,,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WASHINGTON,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MISSOURI,2017,4,,-,0,,0,,,-,,-,3,,3,,8,,9,,17,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,21,,1,,8,,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2017,4,,-,0,,0,,,-,,-,,-,0,,5,,1,,5,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,4,,-,0,,1,,,-,,-,,-,3,,9,,11,,17,,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2017,4,,-,0,,0,,,-,,-,,-,2,,6,,7,,17,,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2017,4,,-,0,,0,,,-,,-,,-,3,,18,,7,,34,,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2017,4,,-,0,,1,,,-,,-,9,,12,,29,,40,,50,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2017,4,,-,0,,1,,,-,,-,3,,1,,5,,10,,13,,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2017,4,,-,0,,0,,,-,,-,,-,3,,7,,3,,7,,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2017,4,,-,0,,0,,,-,,-,2,,0,,6,,2,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2017,4,,-,0,,1,,,-,,-,13,,8,,23,,46,,42,,"OHIO
(40.056807, -82.405897)",
VERMONT,2017,4,,-,0,,0,,,-,,-,3,,0,,6,,6,,5,,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
ALASKA,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"ALASKA
(64.836661, -147.738891)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSISSIPPI,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
