School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
ALGER LEARNING CENTER, INC.	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	MOUNT BAKER SCHOOL DISTRICT	121 ALDER DR	SEDRO-WOOLLEY	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
ALKI MIDDLE SCHOOL	2015-16	224	78.6%	0.4%	16.5%	4.5%	0.4%	2.7%	1.3%	0%	80.4%	81.7%	96%	96%	96%	96.9%	176	1	37	10	1	6	3	0	44	41	9	9	9	7	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	1800 NW BLISS RD	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
ALL SAINTS CATHOLIC SCHOOL	2015-16	50	38%	60%	0%	2%	0%	2%	2%	0%	38%	98%	98%	98%	98%	98%	19	30	0	1	0	1	1	0	31	1	1	1	1	1	Y	PRIVATE SCHOOL	SPOKANE SCHOOL DISTRICT	3510 E 18TH AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
ALL SAINTS SCHOOL	2015-16	35	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	35	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	PUYALLUP SCHOOL DISTRICT	504 2ND ST SW	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	3-8	N	Y
ALLEN ELEMENTARY	2015-16	57	82.5%	0%	14%	3.5%	0%	3.5%	0%	0%	86%	86%	94.7%	98.2%	98.2%	94.7%	47	0	8	2	0	2	0	0	8	8	3	1	1	3	Y	PUBLIC SCHOOL	BURLINGTON-EDISON SCHOOL DISTRICT	17145 COOK ROAD	BOW	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -8	Y	Y
ALMIRA ELEMENTARY SCHOOL	2015-16	25	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	25	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	ALMIRA SCHOOL DISTRICT	PO BOX 217	ALMIRA	LINCOLN	EDUCATIONAL SERVICE DISTRICT 101	K -8	Y	Y
ARLINGTON CHRISTIAN SCHOOL	2015-16																														N	PRIVATE SCHOOL	ARLINGTON SCHOOL DISTRICT	2425 200TH NE	ARLINGTON	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
AMAZING GRACE CHRISTIAN SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	10056 RENTON AVE S	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
AMBOY MIDDLE SCHOOL	2015-16	148	77%	0%	17.6%	5.4%	0%	5.4%	0%	0%	79.7%	79.7%	98.6%	98%	96.6%	95.9%	114	0	26	8	0	8	0	0	30	30	2	3	5	6	Y	PUBLIC SCHOOL	BATTLE GROUND SCHOOL DISTRICT	22115 NE CHELATCHIE RD	AMBOY	CLARK	EDUCATIONAL SERVICE DISTRICT 112	5-8	N	Y
ANGELO GIAUDRONE MIDDLE SCHOOL	2015-16	214	97.7%	0%	0.5%	1.9%	0.5%	1.4%	0%	0%	99.5%	99.1%	99.1%	99.1%	99.1%	99.1%	209	0	1	4	1	3	0	0	1	2	2	2	2	2	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	4902 S ALASKA ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
ANNIE WRIGHT SCHOOL	2015-16	36	75%	19.4%	5.6%	0%	0%	0%	0%	0%	75%	75%	100%	100%	100%	100%	27	7	2	0	0	0	0	0	9	9	0	0	0	0	Y	PRIVATE SCHOOL	TACOMA SCHOOL DISTRICT	827 TACOMA AVE N	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-12	Y	Y
APOLO HIGH SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	WINLOCK SCHOOL DISTRICT	241 NORTH MILITARY ROAD	WINLOCK	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	6-12	N	Y
APPLIED SCHOLASTICS ACADEMY OF SEATTLE	2015-16	1	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	520 NE RAVENNA BLVD	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-6	Y	Y
ARBOR SCHOOLS	2015-16	2	50%	0%	0%	50%	0%	50%	0%	0%	50%	50%	50%	50%	50%	50%	1	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	ISSAQUAH SCHOOL DISTRICT	1107 228TH AVE SE	SAMMAMISH	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-9	Y	Y
ARLINGTON ELEMENTARY	2015-16	68	82.4%	4.4%	0%	13.2%	4.4%	8.8%	0%	0%	89.7%	89.7%	91.2%	92.6%	97.1%	85.3%	56	3	0	9	3	6	0	0	7	7	6	5	2	10	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	6363 N SMITH ST	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
ARROWHEAD ELEMENTARY	2015-16	60	86.7%	0%	6.7%	6.7%	0%	6.7%	0%	0%	91.7%	91.7%	93.3%	93.3%	95%	91.7%	52	0	4	4	0	4	0	0	5	5	4	4	3	5	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	6725 NE ARROWHEAD DR	KENMORE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
ARTZ FOX ELEMENTARY	2015-16	77	96.1%	0%	3.9%	0%	0%	0%	0%	0%	97.4%	98.7%	98.7%	100%	98.7%	100%	74	0	3	0	0	0	0	0	2	1	1	0	1	0	Y	PUBLIC SCHOOL	MABTON SCHOOL DISTRICT	P.O. BOX 40	MABTON	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	K -6	Y	Y
ASOTIN ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	ASOTIN-ANATONE SCHOOL DISTRICT	PO BOX 489	ASOTIN	ASOTIN	EDUCATIONAL SERVICE DISTRICT 123	PK-6	Y	Y
ASPIRE MIDDLE SCHOOL	2015-16	107	82.2%	0%	15%	2.8%	0%	1.9%	0.9%	0%	83.2%	83.2%	100%	98.1%	98.1%	99.1%	88	0	16	3	0	2	1	0	18	18	0	2	2	1	Y	PUBLIC SCHOOL	NORTH THURSTON PUBLIC SCHOOLS	5900 54TH AVE SE	LACEY	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	6-8	N	Y
ASSUMPTION CATHOLIC SCHOOL	2015-16	25	88%	0%	4%	8%	8%	0%	0%	0%	92%	100%	96%	100%	100%	96%	22	0	1	2	2	0	0	0	2	0	1	0	0	1	Y	PRIVATE SCHOOL	BELLINGHAM SCHOOL DISTRICT	2116 CORNWALL AVE	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
ASSUMPTION GRADE SCHOOL	2015-16	24	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	24	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	WALLA WALLA PUBLIC SCHOOLS	2066 E ALDER ST	WALLA WALLA	WALLA WALLA	EDUCATIONAL SERVICE DISTRICT 123	P-8	Y	Y
ASSUMPTION SCHOOL	2015-16	11	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SPOKANE SCHOOL DISTRICT	3618 W INDIAN TRAIL RD	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
ASSUMPTION ST. BRIDGET	2015-16	57	96.5%	0%	3.5%	0%	0%	0%	0%	0%	96.5%	96.5%	98.2%	98.2%	98.2%	98.2%	55	0	2	0	0	0	0	0	2	2	1	1	1	1	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	6220 32ND AVE NE	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
AUDUBON ELEMENTARY	2015-16	44	90.9%	2.3%	0%	6.8%	2.3%	4.5%	0%	0%	93.2%	93.2%	95.5%	95.5%	93.2%	95.5%	40	1	0	3	1	2	0	0	3	3	2	2	3	2	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	2020 W CARLISLE AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
BAKER MIDDLE SCHOOL	2015-16	238	81.1%	0%	16.4%	2.5%	0%	2.9%	0%	0%	97.9%	83.2%	97.9%	97.5%	97.1%	96.2%	193	0	39	6	0	7	0	0	5	40	5	6	7	9	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	8320 S I ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
BAKER VIEW CHRISTIAN SCHOOL	2015-16	2	0%	0%	50%	50%	0%	50%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	1	1	0	1	0	0	2	2	2	2	2	2	Y	PRIVATE SCHOOL	FERNDALE SCHOOL DISTRICT	5353 WASCHKE RD	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
BALBOA ELEMENTARY	2015-16	43	86%	0%	2.3%	11.6%	2.3%	9.3%	0%	0%	88.4%	88.4%	95.3%	95.3%	95.3%	93%	37	0	1	5	1	4	0	0	5	5	2	2	2	3	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	3010 W HOLYOKE AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
BARBARA MCCLINTOCK STEM ELEMENTARY	2015-16	72	98.6%	1.4%	0%	0%	0%	0%	0%	0%	98.6%	98.6%	98.6%	98.6%	100%	98.6%	71	1	0	0	0	0	0	0	1	1	1	1	0	1	Y	PUBLIC SCHOOL	PASCO SCHOOL DISTRICT	5706 ROAD 60	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	K-6	Y	Y
BASIN CITY ELEMENTARY	2015-16	63	98.4%	0%	1.6%	0%	0%	0%	0%	0%	98.4%	98.4%	100%	100%	100%	100%	62	0	1	0	0	0	0	0	1	1	0	0	0	0	Y	PUBLIC SCHOOL	NORTH FRANKLIN SCHOOL DISTRICT	303 BAILIE BLVD	MESA	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	K -6	Y	Y
BAY VIEW ELEMENTARY	2015-16	61	90.2%	0%	6.6%	3.3%	0%	3.3%	0%	0%	91.8%	93.4%	96.7%	98.4%	100%	95.1%	55	0	4	2	0	2	0	0	5	4	2	1	0	3	Y	PUBLIC SCHOOL	BURLINGTON-EDISON SCHOOL DISTRICT	15241 JOSH WILSON RD	BURLINGTON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -8	Y	Y
BAYVIEW ALTERNATIVE SCHOOL	2015-16	4	0%	0%	100%	0%	0%	0%	0%	0%	0%	0%	75%	75%	75%	75%	0	0	4	0	0	0	0	0	4	4	1	1	1	1	Y	PUBLIC SCHOOL	SOUTH WHIDBEY SCHOOL DISTRICT	5476 MAXWELTON RD	LANGLEY	ISLAND	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-12	Y	Y
BEACH ELEM	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	FERNDALE SCHOOL DISTRICT	3786 CENTERVIEW ROAD	LUMMI ISLAND	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
BEAR CREEK ELEMENTARY	2015-16	74	91.9%	0%	0%	8.1%	1.4%	6.8%	0%	0%	95.9%	95.9%	98.6%	95.9%	95.9%	94.6%	68	0	0	6	1	5	0	0	3	3	1	3	3	4	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	18101 AVONDALE RD NE	WOODINVILLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
BEAVER LAKE MIDDLE SCHOOL	2015-16	276	98.2%	0%	0%	1.8%	0.4%	1.8%	0%	0%	98.9%	98.9%	99.6%	99.6%	98.9%	99.3%	271	0	0	5	1	5	0	0	3	3	1	1	3	2	Y	PUBLIC SCHOOL	ISSAQUAH SCHOOL DISTRICT	25025 SE 32ND ST	ISSAQUAH	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
BELLEVUE BIG PICTURE SCHOOL	2015-16	77	59.7%	0%	26%	14.3%	3.9%	10.4%	0%	0%	63.6%	63.6%	94.8%	92.2%	94.8%	89.6%	46	0	20	11	3	8	0	0	28	28	4	6	4	8	Y	PUBLIC SCHOOL	BELLEVUE SCHOOL DISTRICT	14844 SE 22ND STREET	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
BELLEVUE CHILDREN'S ACADEMY 2ND LOCATION	2015-16																														N	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	14600 NE 24TH ST	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	2-8	N	Y
BELLEVUE CHRISTIAN MACK ELEMENTARY	2015-16	30	96.7%	0%	0%	3.3%	0%	3.3%	0%	0%	96.7%	96.7%	96.7%	96.7%	96.7%	100%	29	0	0	1	0	1	0	0	1	1	1	1	1	0	Y	PRIVATE SCHOOL	NORTHSHORE SCHOOL DISTRICT	18250 168TH PL NE	WOODINVILLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
BELLINGHAM CHRISTIAN SCHOOL	2015-16	21	76.2%	0%	0%	23.8%	0%	19%	0%	4.8%	85.7%	85.7%	85.7%	85.7%	76.2%	81%	16	0	0	5	0	4	0	1	3	3	3	3	5	4	Y	PRIVATE SCHOOL	BELLINGHAM SCHOOL DISTRICT	1600 E SUNSET DR	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
BEMISS	2015-16	79	91.1%	0%	1.3%	7.6%	0%	6.3%	0%	1.3%	94.9%	94.9%	97.5%	97.5%	98.7%	93.7%	72	0	1	6	0	5	0	1	4	4	2	2	1	5	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	2323 E BRIDGEPORT AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
BENGE ELEMENTARY	2015-16	1	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	BENGE SCHOOL DISTRICT	2978 E. BENGE-WINONA RD.	BENGE	ADAMS	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
BESS HERIAN ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	CUSICK SCHOOL DISTRICT	305 MONUMENTAL WAY	CUSICK	PEND OREILLE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
BETHANY LUTHERAN ELEMENTARY	2015-16	7	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	7	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	151 TREMONT ST W	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	P-8	Y	Y
BETHLEHEM CHRISTIAN SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	MARYSVILLE SCHOOL DISTRICT	7215 51ST AVE NE	MARYSVILLE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
BETHLEHEM LUTHERAN SCHOOL	2015-16	19	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	19	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	KENNEWICK SCHOOL DISTRICT	2505 W 27TH AVE	KENNEWICK	BENTON	EDUCATIONAL SERVICE DISTRICT 123	P-8	Y	Y
BEVERLY ELEMENTARY	2015-16	72	93.1%	0%	2.8%	4.2%	1.4%	2.8%	0%	0%	95.8%	97.2%	98.6%	98.6%	98.6%	97.2%	67	0	2	3	1	2	0	0	3	2	1	1	1	2	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	5221 168TH ST SW	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
BEVERLY PARK ELEM AT GLENDALE	2015-16	48	97.9%	2.1%	0%	0%	0%	0%	0%	0%	97.9%	97.9%	100%	97.9%	97.9%	97.9%	47	1	0	0	0	0	0	0	1	1	0	1	1	1	Y	PUBLIC SCHOOL	HIGHLINE SCHOOL DISTRICT	1201 S 104TH ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
BICKLETON ELEMENTARY & HIGH SCHOOL	2015-16	4	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	BICKLETON SCHOOL DISTRICT	100 MARKET ST.	BICKELTON	KLICKITAT	EDUCATIONAL SERVICE DISTRICT 105	K -12	Y	Y
BIG LAKE ELEMENTARY SCHOOL	2015-16	37	94.6%	0%	0%	5.4%	0%	5.4%	0%	0%	100%	100%	100%	100%	94.6%	97.3%	35	0	0	2	0	2	0	0	0	0	0	0	2	1	Y	PUBLIC SCHOOL	SEDRO-WOOLLEY SCHOOL DISTRICT	16802 LAKE VIEW BLVD.	MOUNT VERNON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
BILLINGS MIDDLE SCHOOL	2015-16	30	93.3%	0%	0%	6.7%	3.3%	3.3%	0%	0%	100%	100%	96.7%	96.7%	100%	93.3%	28	0	0	2	1	1	0	0	0	0	1	1	0	2	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	7217 WOODLAWN AVE NE	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
BLACK LAKE ELEMENTARY	2015-16	85	84.7%	0%	9.4%	5.9%	2.4%	4.7%	0%	0%	87.1%	87.1%	95.3%	96.5%	97.6%	94.1%	72	0	8	5	2	4	0	0	11	11	4	3	2	5	Y	PUBLIC SCHOOL	TUMWATER SCHOOL DISTRICT	6345 BELMORE-BLACK LAKE ROAD	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
BLAINE MIDDLE SCHOOL	2015-16	142	87.3%	0%	3.5%	9.2%	1.4%	7%	0.7%	0%	91.5%	92.3%	95.8%	96.5%	95.8%	93.7%	124	0	5	13	2	10	1	0	12	11	6	5	6	9	Y	PUBLIC SCHOOL	BLAINE SCHOOL DISTRICT	975 H STREET	BLAINE	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
BLOSSOMING HILL MONTESSORI	2015-16																														N	PRIVATE SCHOOL	TAHOMA SCHOOL DISTRICT	23855 SE 216TH ST	MAPLE VALLEY	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
BLUE HERON MIDDLE SCHOOL	2015-16	74	40.5%	0%	35.1%	24.3%	2.7%	20.3%	1.4%	1.4%	48.6%	48.6%	82.4%	83.8%	79.7%	75.7%	30	0	26	18	2	15	1	1	38	38	13	12	15	18	Y	PUBLIC SCHOOL	PORT TOWNSEND SCHOOL DISTRICT	3939 SAN JUAN AVE	PORT TOWNSEND	JEFFERSON	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	1-8	N	Y
BOISTFORT ELEM	2015-16	8	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	8	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	BOISTFORT SCHOOL DISTRICT	983 BOISTFORT ROAD	CURTIS	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	PK-8	Y	Y
